,SPY,QQQ
Ticker,SPY,QQQ
Date,,
2015-01-02,205.42999267578125,102.94000244140625
2015-01-05,201.72000122070312,101.43000030517578
2015-01-06,199.82000732421875,100.06999969482422
2015-01-07,202.30999755859375,101.36000061035156
2015-01-08,205.89999389648438,103.30000305175781
2015-01-09,204.25,102.62000274658203
2015-01-12,202.64999389648438,101.55000305175781
2015-01-13,202.0800018310547,101.5199966430664
2015-01-14,200.86000061035156,100.95999908447266
2015-01-15,199.02000427246094,99.6500015258789
2015-01-16,201.6300048828125,100.81999969482422
2015-01-20,202.05999755859375,101.62000274658203
2015-01-21,203.0800018310547,102.13999938964844
2015-01-22,206.10000610351562,104.02999877929688
2015-01-23,204.97000122070312,104.26000213623047
2015-01-26,205.4499969482422,104.13999938964844
2015-01-27,202.74000549316406,101.44000244140625
2015-01-28,200.13999938964844,100.91999816894531
2015-01-29,201.99000549316406,101.88999938964844
2015-01-30,199.4499969482422,101.0999984741211
2015-02-02,201.9199981689453,101.9800033569336
2015-02-03,204.83999633789062,102.95999908447266
2015-02-04,204.05999755859375,102.87000274658203
2015-02-05,206.1199951171875,103.76000213623047
2015-02-06,205.5500030517578,103.12999725341797
2015-02-09,204.6300048828125,102.80000305175781
2015-02-10,206.80999755859375,104.4000015258789
2015-02-11,206.92999267578125,104.77999877929688
2015-02-12,208.9199981689453,106.0
2015-02-13,209.77999877929688,106.91000366210938
2015-02-17,210.11000061035156,107.01000213623047
2015-02-18,210.1300048828125,107.16000366210938
2015-02-19,209.97999572753906,107.69000244140625
2015-02-20,211.24000549316406,108.41000366210938
2015-02-23,211.2100067138672,108.5199966430664
2015-02-24,211.80999755859375,108.5999984741211
2015-02-25,211.6300048828125,108.33000183105469
2015-02-26,211.3800048828125,108.87999725341797
2015-02-27,210.66000366210938,108.4000015258789
2015-03-02,211.99000549316406,109.37999725341797
2015-03-03,211.1199951171875,108.87000274658203
2015-03-04,210.22999572753906,108.44999694824219
2015-03-05,210.4600067138672,108.63999938964844
2015-03-06,207.5,107.41000366210938
2015-03-09,208.36000061035156,107.72000122070312
2015-03-10,204.97999572753906,105.72000122070312
2015-03-11,204.5,105.11000061035156
2015-03-12,207.10000610351562,105.80000305175781
2015-03-13,205.8300018310547,105.33999633789062
2015-03-16,208.5800018310547,106.69999694824219
2015-03-17,207.9600067138672,106.87000274658203
2015-03-18,210.4600067138672,107.91999816894531
2015-03-19,209.5,108.08000183105469
2015-03-20,210.41000366210938,108.52999877929688
2015-03-23,210.0,108.31999969482422
2015-03-24,208.82000732421875,107.93000030517578
2015-03-25,205.75999450683594,105.45999908447266
